Nº,Autor,Título,Editorial,ISBN
192," Camus, Albert",La peste," Argentina : Ed. Seix Barral, 1985. ; 234 p. 18 cm. ",nan
193," Heller, Jane",Falsa identidad," Argentina : Ed. Claridad, 2009. ; 318 p. ; 22 cm.",ISBN : 978-950-620-261-3
194," Parquer, Alan",El beso del Incauto," Argentina : Ed. Emecé, 2008. ; 260 p. ; 22 cm.",ISBN : 978-950-04-3009-8
195," Crusie, jennifer",La falsificadora (grandes novelistas)," Argentina: Ed. Emecé, 2008. ; 316 p. ; 22 cm.",ISBN : 978-950-04-3017-3
196," Conan Doyle, Arthur",El regreso de Sherlock Holmes," Argentina : Ed. Claridad, 2010. ; 301 p. ; 21 cm.",ISBN : 978-950-620-166-1
197," Poe, Edgar Alan",Cuentos de humor y sátira," Argentina : Ed. Claridad, 2007. ; 314 p. ; 21 cm.",ISBN : 950-620-157-9
198," Quinn, Daniel",A.D. El año que cambió el mundo (grandes novelistas)," Argentina : Ed. Emecé, 2008. ; 165 p. ; 22 cm.",ISBN : 978-950-04-3006-7
199," Conan Doyle, Arthur",Relatos de misterio," Argentina : Ed. Claridad, 2007. ; 109 p. 22 cm.",ISBN : 798-950-620-230-9
200,"Christie, Agatha",El misterio del tren azul," Argentina : Ed. Planeta, 2006. ;  207 p, ; 18 cm.",ISBN : 978-950-49-1619-2
201," Christie, Agatha",Intriga en Bagdad," Argentina : Ed. Planeta, 2007. ; 199 p. ; 18 cm.",ISBN : 978-950-49-1670-3
202," Christie, Agatha",Los elefantes pueden recordar," Argentina : Ed. Planeta, 2006. ; 174 p. 18 cm.",ISBN : 978-950-49-1616-1
203," Christie, Agatha",El espejo roto," Argentina : Ed. Planeta, 2006. ; 215 p. ; 18 cm.",ISBN : 978-950-49-1618-5
204," Christie, Agatha",Cianuro espumoso," Argentina : Ed. Planeta, 2006. ; 214 p. ; 18 cm.",ISBN : 978-950-49-1613-0
205," Poe, Edgar Alan",Cuentos de horror y misterio," Argentina : Ed. Claridad, 2005. ; 379 p. ; 21 cm.",ISBN : 950-620-158-7
206," Lapajufker, Marcelo",Hay dos cartas sin abrir," Argentina : Ed. El Autor, 2007 ;  il. ; 310 p.; 21 cm.   ",ISBN : 978-987-05-3595-9
207,Hay dos cartas sin abrir," Argentina : Ed. El Autor, 2007 ;  il. ; 310 p.; 21 cm.   ",ISBN : 978-987-05-3595-9,nan
208," Argentina : Ed. El Autor, 2007 ;  il. ; 310 p.; 21 cm.   ",ISBN : 978-987-05-3595-9,nan,nan
209," Feinmann, José Oablo",Peronismo Filosofía polítiva de una persistencia argentina," Argentina : Ed. Planeta, 2010 ; 740 p. ; 22 cm.",ISBN : 978-950-49-2378-7
210," Rozitchner, Leon",Las desventuras del sujeto político," Argentina : Ed. El Cielo por Asalto, 1996 ; 255 p. ; 21 cm.",ISBN : 987-9035-08-9
211," Alvarado, Maite",El Lecturón II La máquina de hacer lectores," Argentina : Ed. El Hacedor, 2010 ; il. ; 139 p. ; 22 cm.",ISBN : 978-987-9272-04-6
212," Chapra, Steven C. - Canale, Raymond P.",Métodos numéricos para ingenieros," México : Ed. McGraw-Hill, 2007 ; il. ; 977 p. ; 23 cm.",ISBN : 978-970-10-6114-5
213," Osorio, Fernanado",¿Qué función cumplen los padres de un niño?, Argentina : Ed. Novedades Educ. ; 2008 ; 94 p. ; 25 cm.,ISBN : 978-987-538-230-5
214," Coelho, Paulo",Palabras esenciales II," Argentina : -ed. Lidia M. Riba, 2008 ; il ; 91 p. ; 18 cm.",ISBN : 978-987-612-146-0
215,Palabras esenciales II," Argentina : -ed. Lidia M. Riba, 2008 ; il ; 91 p. ; 18 cm.",ISBN : 978-987-612-146-0,nan
216," Devetach, Laura",Cuento de los enrredos," Argentina : Ed. Grupo AIQUE, 2005 ; IL. ; 23 P. ; 19 CM.",ISBN : 950-701-542-6
217,Cuento de los enrredos," Argentina : Ed. Grupo AIQUE, 2005 ; IL. ; 23 P. ; 19 CM.",ISBN : 950-701-542-6,nan
218," Cortázar, Julio",Cuentos completos 1," Argentina : Ed. ALFAGUARA, 2010 ; 639 p. ; 23 cm.",ISBN : 978-987-04-1472-8
219,Cuentos completos 1," Argentina : Ed. ALFAGUARA, 2010 ; 639 p. ; 23 cm.",ISBN : 978-987-04-1472-8,nan
220," Balagurusamy, E.",Programación orientada a objetos con c++," España : Ed. McGraw-Hill, 2007 ; il. ; 621 p. ; 23 cm.",ISBN : 978-84-481-5621-3
221," Grimaldi, Ralph P.",Matemáticas discreta y combinatoria," México : Ed. PEARSON, 1998 ; 874 P. ; 23 C.  ",ISBN : 968-444-324-2
222, QUINO,Mafalda inedita," Argentina : Ed. De La Flor S.R.L., 1988 ; il. ; 18 cm.",ISBN : 978-950-515-664-1
223,Mafalda inedita," Argentina : Ed. De La Flor S.R.L., 1988 ; il. ; 18 cm.",ISBN : 978-950-515-664-1,nan
224, QUINO,Humano se nace," Argentina : Ed. De La Flor S.R.L., 2009 ; il. ; 126 p. ; 27 cm.",ISBN : 978-950-515-680-1
225,Humano se nace," Argentina : Ed. De La Flor S.R.L., 2009 ; il. ; 126 p. ; 27 cm.",ISBN : 978-950-515-680-1,nan
226," Fazzio, Adriana","Niñez, Familia y Derechos Humanos"," Argentina : Ed. Espacio, 2010 ; 150 p. ; 22 cm.",ISBN : 978-950-802-327-8
227,"Niñez, Familia y Derechos Humanos"," Argentina : Ed. Espacio, 2010 ; 150 p. ; 22 cm.",ISBN : 978-950-802-327-8,nan
227," Coelho, Paulo",La Bruja de Portobello," Argentina : Ed. Planeta, 2009 ; 295 p. ; 22 cm.",ISBN : 978-950-49-2178-3
229,La Bruja de Portobello," Argentina : Ed. Planeta, 2009 ; 295 p. ; 22 cm.",ISBN : 978-950-49-2178-3,nan
230," De Santis, Pablo",Los anticuarios," Argentina : Ed. Planeta, 2010 ; 266 p. ; 22 cm.",ISBN : 978-950-49-2390-9
231,Los anticuarios," Argentina : Ed. Planeta, 2010 ; 266 p. ; 22 cm.",ISBN : 978-950-49-2390-9,nan
232," Cook, Robin",Cuerpo extraño," Argentina : Ed. Plaza & Janés, 2009 ; 443 p. 23 cm.",ISBN : 978-950-644-172-2
233,Cuerpo extraño," Argentina : Ed. Plaza & Janés, 2009 ; 443 p. 23 cm.",ISBN : 978-950-644-172-2,nan
234," Hood, Robin",El Proscipto," Argentina : Ed. Edhasa,2010 ; 446 p. ; 22 cm.",ISBN : 978-987-628-089-1
235,El Proscipto," Argentina : Ed. Edhasa,2010 ; 446 p. ; 22 cm.",ISBN : 978-987-628-089-1,nan
236," Allende, Isabel",El plan infinito," Argentina : Ed. Sudamericana, 2009 ; 410 p. ; 18 cm.",ISBN : 987-1138-88-1
237,El plan infinito," Argentina : Ed. Sudamericana, 2009 ; 410 p. ; 18 cm.",ISBN : 987-1138-88-1,nan
238," Cooh, Robin",ADN," Argentina : Ed. Sudamericana, 2010 ; 520 p. ; 18 cm.",ISBN : 978-987-566-514-9
239,ADN," Argentina : Ed. Sudamericana, 2010 ; 520 p. ; 18 cm.",ISBN : 978-987-566-514-9,nan
240," Freire, Hector J.",El Cine en su laberinto," Argentina : Ed. Topía, 2009 ; 103 p. ; 22 cm.",ISBN : 978-987-1185-30-6
241,El Cine en su laberinto," Argentina : Ed. Topía, 2009 ; 103 p. ; 22 cm.",ISBN : 978-987-1185-30-6,nan
242," Castellano, Emanuel",El libro mágico de Harry Potter," Argentina : Ed. OVNI, 2009 ; il. ; 94 p. ; 21 cm. ",ISBN : 978-987-24341-9-9
243,El libro mágico de Harry Potter," Argentina : Ed. OVNI, 2009 ; il. ; 94 p. ; 21 cm. ",ISBN : 978-987-24341-9-9,nan
244," Rowling, J. K.",Harry Potter y el cáliz de fuego," España : Ed. Salamandra, 2010 ; 635 p. ; 19 cm.",ISBN : 978-84-9838-015-6
245,Harry Potter y el cáliz de fuego," España : Ed. Salamandra, 2010 ; 635 p. ; 19 cm.",ISBN : 978-84-9838-015-6,nan
246," Rowling, J. K.",Harry Potter y el prisionero de Azkaban," España : Ed. Salamndra, 2010 ; 358 p. ; 19 cm.",ISBN : 978-84-9838-014-9
247,Harry Potter y el prisionero de Azkaban," España : Ed. Salamndra, 2010 ; 358 p. ; 19 cm.",ISBN : 978-84-9838-014-9,nan
248," García Márquez, Gabriel",El amor en los tiempos del cólera," Argentina : Ed. Sudamericana, 2009 ; 494 p. ; 23 cm. ",ISBN : 950-07-2608-4
249,El amor en los tiempos del cólera," Argentina : Ed. Sudamericana, 2009 ; 494 p. ; 23 cm. ",ISBN : 950-07-2608-4,nan
250," Piglia, Ricardo",Blanco nocturno," España : Ed. Anagrama, 2010 ; 299 p. ; 22 cm.",ISBN : 978-84-339-7215-6
251,Blanco nocturno," España : Ed. Anagrama, 2010 ; 299 p. ; 22 cm.",ISBN : 978-84-339-7215-6,nan
252," Piglia, Ricardo",Plata quemada," España : Ed. Anagrama, 2000 ; 227 p. ; 22 cm.",ISBN : 978-84-339-2462-9
253,Plata quemada," España : Ed. Anagrama, 2000 ; 227 p. ; 22 cm.",ISBN : 978-84-339-2462-9,nan
254," Bonasso, Miguel",Diario de un clandestino," Argentina : Ed. Planeta, 2010 ; il. ; 331 p. ; 23 cm.",ISBN : 978-950-49-2435-7
255,Diario de un clandestino," Argentina : Ed. Planeta, 2010 ; il. ; 331 p. ; 23 cm.",ISBN : 978-950-49-2435-7,nan
256," Balmaceda, Daniel",Biografía no autorizada de 1910," Argentina : Ed. Sudamericana, 2010 ; 186 p. ; 22 cm.",ISBN : 978-950-07-3226-0
257,Biografía no autorizada de 1910," Argentina : Ed. Sudamericana, 2010 ; 186 p. ; 22 cm.",ISBN : 978-950-07-3226-0,nan
258," Galeano, Eduardo",El libro de los abrazos," Argentina : Ed. Siglo Veintiuno, 2010 ; il. ; 265 p. ; 20 cm.",ISBN : 978-987-629-116-3
259,El libro de los abrazos," Argentina : Ed. Siglo Veintiuno, 2010 ; il. ; 265 p. ; 20 cm.",ISBN : 978-987-629-116-3,nan
260," Devetach, Laura",Cuentos del Paí Luchi,"Argentina : Ed. Sudemaricana, 2001 ; il. ; 42 p. ; 21 cm.",isbn : 950-07-2090-6
261,Cuentos del Paí Luchi,"Argentina : Ed. Sudemaricana, 2001 ; il. ; 42 p. ; 21 cm.",isbn : 950-07-2090-6,nan
262," García Márquez, Gabriel",Vivir para contarla," Argentina : Ed. Sudamericana, 2010 ; 527 p. ; 18 cm.",ISBN : 987-566-029-9
263,Vivir para contarla," Argentina : Ed. Sudamericana, 2010 ; 527 p. ; 18 cm.",ISBN : 987-566-029-9,nan
264," García Márquez, Gabriel",Cien años de soledad," Argentina : Ed. Sudamericana, 2009 : 494 p. ; 18 cm.",ISBN : 987-1138-14-8
265,Cien años de soledad," Argentina : Ed. Sudamericana, 2009 : 494 p. ; 18 cm.",ISBN : 987-1138-14-8,nan
266," Argentina : Ed. Sudamericana, 2009 : 494 p. ; 18 cm.",ISBN : 987-1138-14-8,nan,nan
267," Stamateas, Bernardo",AUTOBOICOT Cuando el tóxico es uno mismo," Argentina : Ed. Planeta, 2009 : 190 p. ; 22 cm. ",ISBN : 978-950-49-1967-4
268,AUTOBOICOT Cuando el tóxico es uno mismo," Argentina : Ed. Planeta, 2009 : 190 p. ; 22 cm. ",ISBN : 978-950-49-1967-4,nan
269," Brown, Dan",El  Código Da Vinci," España : Ed. URANO, 2007 ; 666 p. ; 18 cm.",ISBN : 978-84-96829-00-8
270,El  Código Da Vinci," España : Ed. URANO, 2007 ; 666 p. ; 18 cm.",ISBN : 978-84-96829-00-8,nan
271," De Santis, Pablo",Páginas mezcladas," Argentina : Ed. Colihue, 2009 ; il. ; 91 p. ; 19 cm.",ISBN : 978-950-581-222-6
272,Páginas mezcladas," Argentina : Ed. Colihue, 2009 ; il. ; 91 p. ; 19 cm.",ISBN : 978-950-581-222-6,nan
273," De Santis, Pablo",Desde el ojo del pez," Argentina : Ed. Alfaguara, 2008 ; il. ; 128 p. ; 19 cm. ",ISBN : 978-987-04-1065-2
274,Desde el ojo del pez," Argentina : Ed. Alfaguara, 2008 ; il. ; 128 p. ; 19 cm. ",ISBN : 978-987-04-1065-2,nan
275," Rapoport, Mario",Las políticas económicas de la Argentina," Argentina : Ed. Booket, 2010 ; 511 p. ; 18 cm.",ISBN : 978-987-580-370-4
276," Sabato, Hilda",Pueblo y Política la construcción de la Arg. Moderna," Argentina : Capital Intelectual, 2010 ; 123 p. ; 19 cm.",ISBN : 978-987-614-216-8
277,Pueblo y Política la construcción de la Arg. Moderna," Argentina : Capital Intelectual, 2010 ; 123 p. ; 19 cm.",ISBN : 978-987-614-216-8,nan
278," Arreche, Araceli y Otros",El Teatro y Los Niños," Argentina : Ed. Atuel, 2006 ; 223 p. ; 18 cm.",ISBN : 987-1155-23-9
279,El Teatro y Los Niños," Argentina : Ed. Atuel, 2006 ; 223 p. ; 18 cm.",ISBN : 987-1155-23-9,nan
280," Rowling, J. K.",Harry Potter y las reliquias de la muerte," España : Ed. Salamandra, 2008 ; 638 p. ; 19 cm.",ISBN : 978-84-9838-144-3
281,Harry Potter y las reliquias de la muerte," España : Ed. Salamandra, 2008 ; 638 p. ; 19 cm.",ISBN : 978-84-9838-144-3,nan
282," Brown, Dan",Angeles y Demonios," España : Ed. URANO, 2009 ; 725 p. ; 18 cm.",ISBN : 978-84-92516-51-3
283,Angeles y Demonios," España : Ed. URANO, 2009 ; 725 p. ; 18 cm.",ISBN : 978-84-92516-51-3,nan
284," Stamateas, Alejandra",Mi cuerpo Mi cárcel," Argentina : Ed. V & R, 2009 ; 106 p. ; 21 cm.",ISBN : 978-987-612-222-1
285,Mi cuerpo Mi cárcel," Argentina : Ed. V & R, 2009 ; 106 p. ; 21 cm.",ISBN : 978-987-612-222-1,nan
286," Stamateas, Bernardo",Gente Toxica," Argentina : Ed. ZETA, 2010 ; 216 p. ; 19 cm.",ISBN : 978-987-627-179-0
287,Gente Toxica," Argentina : Ed. ZETA, 2010 ; 216 p. ; 19 cm.",ISBN : 978-987-627-179-0,nan
288," Salinas, Silvia - Bucay, Jorge",Amarse con los ojos abiertos," Argentina : Ed. Del Nuevo Extremo, 2010 ; 253 p. ; 22 cm.",ISBN : 978-987-609-204-3
289,Amarse con los ojos abiertos," Argentina : Ed. Del Nuevo Extremo, 2010 ; 253 p. ; 22 cm.",ISBN : 978-987-609-204-3,nan
290," Allende, Isabel",Retrato en sepia," Argentina : Ed. Sudamericana, 2010 ;363 p. ; 18 cm.",ISBN : 987-1138-89-X
291,Retrato en sepia," Argentina : Ed. Sudamericana, 2010 ;363 p. ; 18 cm.",ISBN : 987-1138-89-X,nan
292, QUINO,Mafalda, Argentina : Ed. De La Flor ; il. ; 13 cm.,nan
293,Mafalda, Argentina : Ed. De La Flor ; il. ; 13 cm.,nan,nan
294,nan," García Márquez, Gabriel",Yo no vengo a decir un discurso," Argentina : Ed. Sudamericana, 2010 ; 151p. ; 23 cm."
295," García Márquez, Gabriel",Yo no vengo a decir un discurso," Argentina : Ed. Sudamericana, 2010 ; 151p. ; 23 cm.",ISBN : 978-950-07-3313-7
296," Galeano, Eduardo",Las venas abiertas de América Latina," Argentina : Ed. Siglo veintiuno, 2010 ; 379 p. ; 20 cm.",ISBN : 978-987-629-113-2
297,Las venas abiertas de América Latina," Argentina : Ed. Siglo veintiuno, 2010 ; 379 p. ; 20 cm.",ISBN : 978-987-629-113-2,nan
298," Rowling, J.K.",Harry Potter y la piedra filosofal," España : ed. Salamandra, 2010 ; 255 p. ; 19 cm.",ISBN : 978- 84-9838-012-5
299,Harry Potter y la piedra filosofal," España : ed. Salamandra, 2010 ; 255 p. ; 19 cm.",ISBN : 978- 84-9838-012-5,nan
300,"Rowling, J.K.",Harry Potter y la cámara secreta," España : Ed. Salamandra, 2010 ; 287 p. ; 19 cm.",ISBN : 978-84-9838-013-2
301,Harry Potter y la cámara secreta," España : Ed. Salamandra, 2010 ; 287 p. ; 19 cm.",ISBN : 978-84-9838-013-2,nan
302, Nik,Gaturro y los piratas del tesoro perdido," Argentina : Ed. Sudamericana, 2010 ; il. ; 116 p. ; 18 cm.",ISBN : 978-950-07-3179-8
303, Nik,Gaturro y la noche de los vampiros," Argentina : Ed. Sudamericana, 2010 ; il. 129 p. ; 18 cm.",ISBN : 978-950-07-3257-4
304," Allende, Isabel",Mi país inventado," Argentina : Ed. Sudamericana, 2009 ; 219 p. ; 18 cm.",ISBN : 987-1138-68-7
305,Mi país inventado," Argentina : Ed. Sudamericana, 2009 ; 219 p. ; 18 cm.",ISBN : 987-1138-68-7,nan
306," Armstrong, Lance",Mi vuelta a la vida," Argentina : Ed. Del Nuevo Extremo, 2010 ; 332 p. ; 19 cm.",ISBN : 978-987-609-247-0
307,Mi vuelta a la vida," Argentina : Ed. Del Nuevo Extremo, 2010 ; 332 p. ; 19 cm.",ISBN : 978-987-609-247-0,nan
308," Saint -Exupery, Antoine",El Principito," Argentina : Emecé, 2010 : il. ; 109 o. ; 16 cm.",ISBN : 978-950-04-2640-4
309,El Principito," Argentina : Emecé, 2010 : il. ; 109 o. ; 16 cm.",ISBN : 978-950-04-2640-4,nan
310, Nik,Gaturro y la noche de los vampiros," Argentina : Ed. Sudemaricana, 2010 ; il. ; 129 p. ; 18 cm.",ISBN : 978-950-07-3257-4
311, Nik,Gaturro y los piratas del tesoro perdido," Argentina : Ed. Sudamericana, 2010 ; il. ; 116 p. ; 18 cm.",ISBN : 978-950-07-3176-8 
312," Lambert, Alibel","Argentina : Ed. Maya, 2010 ; 60 p. 19 cm.",ISBN : 978-987-25986-1-7,nan
313,"Argentina : Ed. Maya, 2010 ; 60 p. 19 cm.",ISBN : 978-987-25986-1-7,nan,nan
314,ISBN : 978-987-25986-1-7,nan,nan,"Schreiber, Jürgen"
315,"Schreiber, Jürgen",La mujer que vengó al Che Guevara," Argentina : Ed. Capital Intelectual, 2010 ; 287 p. 21 cm.",ISBN: 978-987-614-226-7
316," Hosseini, Khaled",Cometas en el cielo," España : Ed. Salamandra, 2003 ; 382 p. ; 19 cm.",ISBN : 978-84-9838-317-1
317," Rolón, Gabriel",Los padecientes," Argentina : Ed. Emecé, 2010 ; 339 p. ; 22 cm.",ISBN : 978-950-04-3287-0
318," Aguinis, Marcos",La matriz del infierno," Argentina : Ed. Sudamericana, 2009 ; 500 p. ; 18 cm.",ISBN : 978-950-07-3117-1
319,La matriz del infierno," Argentina : Ed. Sudamericana, 2009 ; 500 p. ; 18 cm.",ISBN : 978-950-07-3117-1,nan
320," Allende, Isabel",El plan infinito," Argentina : Ed. Sudamericana, 2004 ; 410 p. ; 19 cm.",ISBN : 950-07-1839-1
321,El plan infinito," Argentina : Ed. Sudamericana, 2004 ; 410 p. ; 19 cm.",ISBN : 950-07-1839-1,nan
322," Allende, Isabel",Cuentos de Eva Luna," Argentina : Ed. Sudamericana, 2008 ; 277 p. ; 18 cm.",ISBN : 987-1138-84-9
323,Cuentos de Eva Luna," Argentina : Ed. Sudamericana, 2008 ; 277 p. ; 18 cm.",ISBN : 987-1138-84-9,nan
324," Allende, isabel",Eva Luna," Argentina : Ed. Sudamericana, 2008 ; 285 p. 18 cm.",ISBN : 987-1138-87-3
325,Eva Luna," Argentina : Ed. Sudamericana, 2008 ; 285 p. 18 cm.",ISBN : 987-1138-87-3,nan
326," Allende, Isabel",La casa de los espíritus," Argentina : Ed. Sudamericana, 2010 ; 453 p. 18 cm.",ISBN : 987-1138-90-3
327,La casa de los espíritus," Argentina : Ed. Sudamericana, 2010 ; 453 p. 18 cm.",ISBN : 987-1138-90-3,nan
328," Meyer, Stephenie",Amanecer," Argentina : Ed. Alfaguara, 2010 ; 828 p. ; 19 cm.",ISBN : 978-987-04-1090-4
329," Meyer, Stephenie",Luna nueva," Argentina : Ed. Alfaguara, 2009 ; 574 ; 19 cm.",ISBN : 978-987-04-0678-5
330, Argentina Códigos,Código Penal," Argentina : Ed. ZAVALIA, 2010 ; 365 p. ; 15 cm.",ISBN : 978-950-572-819-0
331, Argentina Códigos,Código Civil y Comercial de la Nación," Argentina : Ed. ZAVALIA,2010 ; 544 p.- ; 15 cm.",isbn : 978-950-572-822-0
332," Montes, Graciela Silvia",La batalla de los monstruos y las hadas," Argentina : Ed. Alfaguara, 2010 ; il. ; 93 p. 19 cm.",ISBN : 978-987-04-0068-4
333,La batalla de los monstruos y las hadas," Argentina : Ed. Alfaguara, 2010 ; il. ; 93 p. 19 cm.",ISBN : 978-987-04-0068-4,nan
334," Capusotto, Diego - Saborido, Pedro",Peter Capusotto," Argentina : Ed. Sudamericana, 2010 ; il. ; 237 p. ; 22 cm.",ISBN : 978-950-07-3156-0
335,Peter Capusotto," Argentina : Ed. Sudamericana, 2010 ; il. ; 237 p. ; 22 cm.",ISBN : 978-950-07-3156-0,nan
336," Paz, Carlos",Efemérides Literarias Argentinas," Argentina : Ed. Caligraf, 1999 ; 592 p. ; 22 cm.",ISBN : 987-97280-1-7
337," Forn, Juan y Otros",La guerra de Malvinas (Argentina 1982)," Argentina : Ed. Biblos, 2007 ; 141 p. 19 cm.",ISBN : 978-950-786-604-3
338," Feinmann, José Pablo",Timote Secuestro y muerte del General Aramburu," Argentina : Ed. Planeta, 2009 ; 255 p. ; 23 cm.",ISBN :  978-950-49-2009-0
339,Timote Secuestro y muerte del General Aramburu," Argentina : Ed. Planeta, 2009 ; 255 p. ; 23 cm.",ISBN :  978-950-49-2009-0,nan
340," Pigna, Felipe", Los Mitos de la Historia Argentina," Argentina : Ed. Booket, 201 ; 373p. ; 18 cm.",ISBN : 978-987-580-409-8
341," Forn, Juan y Otros",La guerra de Malvinas (Argentina 1982),"Argentina : Ed. Biblos, 2007 ; 141p. ; 19 cm.",ISBN : 978-950-786-604-3
342," Lanata, jorge",Polaroides," Argentina : Ed. Punto de Lectura, 2007 ; 123 p. 18 cm.",ISBN : 978-987-578-058-3
343,Polaroides," Argentina : Ed. Punto de Lectura, 2007 ; 123 p. 18 cm.",ISBN : 978-987-578-058-3,nan
344," Soriano, Osvaldo","Reveldes, soñadores y fugitivos"," Argentina : Ed. Booket, 2008 ; 189 p. ; 18 cm.",ISBN : 978-987-580-262-9
345,"Reveldes, soñadores y fugitivos"," Argentina : Ed. Booket, 2008 ; 189 p. ; 18 cm.",ISBN : 978-987-580-262-9,nan
346," Soriano, Osvaldo",No habrá más penas ni olvido," Argentina : Ed. Booket, 2010 ; 146 p. ; 18 cm.",ISBN : 978-987-580-214-8
347,No habrá más penas ni olvido," Argentina : Ed. Booket, 2010 ; 146 p. ; 18 cm.",ISBN : 978-987-580-214-8,nan
348," Bucay, Jorge",El elefante encadenado," España : Ed. Del Nuevo Extremo, 2008 ; il. ; 30 cm.",ISBN : 978-987-609-113-8
349," Luna, Félix",Historia integral de la Argentina Tomo 2," Argentina : Ed. Booket, 2009 ; il. ; 287 p. 18 cm.",ISBN : 978-987-580-313-8
350," Luna, Félix",Histria integral de la Argentina," Argentina : Ed. Booket, 2009 ; il. ; 406 p. ; 18 cm.",ISBN : 978-987-580-307-7
351," de Vasconcelos, José Mauro",Mi planta naranja-lima," Argentina : Ed. El Ateneo, 2010 ; il. ; 178 p. ; 19 cm.",ISBN : 978-950-02-0444-6
352,Mi planta naranja-lima," Argentina : Ed. El Ateneo, 2010 ; il. ; 178 p. ; 19 cm.",ISBN : 978-950-02-0444-6,nan
353," Carrizo De La Canal, Gustavo ",DINOSAURIOS gigantes de la Prehistoria," Argentina : Ed. Guadal, 2009 ; il. 19 cm. (5ROMPECABAZAS)",ISBN : 978-987-579-733-8
354," de Vasconcelos, José Mauro",Mi planta naranja-lima," Argentina : Ed. El Ateneo, 2010 ; il. ; 178 p.  ; 19 cm.",ISBN : 978-950-02-0444-6
355,Mi planta naranja-lima," Argentina : Ed. El Ateneo, 2010 ; il. ; 178 p.  ; 19 cm.",ISBN : 978-950-02-0444-6,nan
356," de Vasconcelos, José Mauro",Vamos a calentar el sol," Argentina : Ed. El Ateneo, 2010 ; 205 p. ; 19 cm.",ISBN : 978-950-02-8539-1
357," Luna, Félix", Historia integral de la Argentina secreta Tomo 3," Argentina : Ed. Booket, 2009 ; il. ; 283 p. ; 18 cm.;",ISBN : 978-987-580-322-0
358," Freire, Paulo",La importancia de leer y el proceso de liberación," Argentina : Ed. Siglo Veintiuno, 2008 ; 176 p. ; 17 cm.",ISBN : 978-968-23-1593-0
359," Kipling, Rudyard",Historias presisamente así," Argentina : Ed. Comunicate, 2010 ; il. ; 205 p. ; 17 cm.",ISBN : 978-987-602-115-9
360," Castelain-Meunier, Chiristine","Padres, Mdres, Hijos"," Argentina : Ed. Siglo Veintiuno, 1998il. ; 83 p. 17 cm.",ISBN : 968-23-2428-9
361," Civale, Cristina",Niños lejos de Disneylandia," Argentina : Ed. Planeta, 2006 ; 251 p. ; 22 cm.",ISBN : 950-49-1559-0
362," Carbajal, Mariana",El aborto en debate,"  Argentina : Ed. Paidón, 2009 ; 267 p. ; 20 cm.",ISBN : 978-950-12-4555-4
363," Rey, María Esther",Didáctica de la matemática   Primer Ciclo," Argentina : Ed. Magisterio del Río de La Plata, 2006 ;",                     il. ; 189 p. ; 24 cm.
364," Archanco, Pamela",Atrapafaltas  Ortografía 4," Argentina : Ed. Tinta Fresca, 2008 ; il. ; 96 p. ; 23 cm.",ISBN : 978-987-576-268-8
365," Archanco, Pamela",Atrapafaltas   Ortografía 5," Argentina : Ed. Tinta Fresca, 2010 ; il. ; 96 p. ; 23 cm.",ISBN : 978-987-576-269-5
366," Freire, Paulo",La educación como practica de la libertad," Argentina : Ed. Siglo Veintiuno, 2009 ; il. ; 150p. 20 cm.",ISBN : 978-987-629-021-0
367," Romero, Luis Alberto",La crisis argentina Una mirada al siglo XX," Argentina : Ed. Siglo Veintiuno, 2003 ; 126 p. ; 17 cm.",ISBN : 987-1105-50-9
